month_of_year,mean_ncp,sd_ncp
1,-6.4648560320351285,9.562027443864931
2,0.9054498556658092,8.011134801461992
3,9.798110936674949,14.413831436436347
4,26.043118173300208,8.90188335776173
5,28.520897821496856,4.891187856894626
6,20.900485634969964,4.077246035472673
7,16.80795427415164,2.5200184244422674
8,12.205977936289461,4.169076953640928
9,2.7969798327255364,4.743286747103814
10,-1.5527107698492502,4.967025569934871
11,-4.612305982444389,5.155941555356817
12,-7.936975724487535,7.0241476318933955
